4958,36
11815,20
10485,39
21980,17
5394,17
20040,32
21717,31
11988,48
16876,29
6945,61
8317,92
10901,48
9893,17
8502,48
9603,81
23657,55
12091,68
18625,43
11945,95
24487,65
6341,4
24761,67
21984,5
20896,3
12424,28
1414,64
11642,52
1230,27
17204,62
8067,49
4779,75
459,20
22246,84
16132,9
13696,3
20150,67
7002,17
3314,34
23326,37
17893,18
17658,50
10342,47
4676,69
17790,67
1293,54
264,71
14643,25
8108,44
8110,48
21599,17
13897,14
22213,12
23499,34
20212,68
15760,41
15347,65
22505,54
1288,37
10508,12
13979,62
7633,10
24950,5
21599,24
12561,34
11985,49
1595,97
22404,8
14226,9
11409,94
16527,87
13841,54
5958,53
4110,73
20745,45
6075,26
11112,6
584,76
19465,47
11814,19
6420,36
16536,42
22483,0
13419,19
14488,47
21997,52
24708,48
4718,95
5251,8
3648,20
8807,4
1483,19
17450,37
1849,26
1790,27
5651,15
3110,49
8620,45
16683,3
17314,69
1138,55
8248,53
916,34
41,10
16683,7
9845,27
3744,75
11978,67
15140,0
22009,49
3716,60
14112,87
6275,79
4531,33
11750,45
12833,17
18798,11
19101,9
10117,22
1932,86
6964,14
2332,51
1370,21
13237,8
10098,5
13870,11
24808,1
7419,8
1897,47
13842,16
19055,84
19995,5
10368,9
18170,2
913,23
5943,58
24718,16
22035,97
18127,40
15578,95
21557,22
1741,34
4429,5
24323,12
3629,1
3701,60
8577,52
13809,67
21945,51
5328,18
19146,52
16735,37
21320,5
10212,67
1429,15
16346,59
2777,15
19976,20
20873,60
11571,72
10678,6
23162,68
19947,28
2843,1
10753,3
14547,5
1600,69
19718,19
7088,12
24371,11
10685,50
24292,89
10775,42
7696,98
24804,92
1076,47
14490,1
2555,13
7918,58
9665,57
14035,0
17603,37
13233,62
12394,47
14594,48
14840,53
15405,30
16101,96
7813,2
5361,2
4332,64
7729,50
2453,33
19744,10
8569,66
16455,17
21327,61
15085,83
6459,7
20371,8
12579,25
